YEAR,TOURNAMENT NAME,GROUP,TEAM NAME,TEAM_ID,MATCH PLAYED,WIN,DRAW,LOSS,GF,GA,GD,POINTS,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP E,Spain,T-72,3,2,1,0,4,1,3,5,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP E,Belgium,T-6,3,2,0,1,4,3,1,4,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP E,Uruguay,T-82,3,1,1,1,2,3,-1,3,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP E,South Korea,T-70,3,0,0,3,1,4,-3,0,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP F,England,T-27,3,1,2,0,2,1,1,4,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP F,Republic of Ireland,T-59,3,0,3,0,2,2,0,3,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP F,Netherlands,T-47,3,0,3,0,2,2,0,3,,,,,,,,,
1990,1990 FIFA Men's World Cup,GROUP F,Egypt,T-25,3,0,2,1,1,2,-1,2,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP A,Mexico,T-45,3,1,1,1,3,3,0,4,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP A,Ireland,T-38,3,1,1,1,2,2,0,4,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP A,Italy,T-40,3,1,1,1,2,2,0,4,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP A,Norway,T-52,3,1,1,1,1,1,0,4,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP B,Brazil,T-9,3,2,1,0,6,1,5,7,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP B,Sweden,T-73,3,1,2,0,4,3,1,5,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP B,Russia,T-61,3,1,0,2,7,6,1,3,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP B,Cameroon,T-11,3,0,1,2,3,9,-6,1,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP C,Romania,T-60,3,2,0,1,5,3,2,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP C,Switzerland,T-74,3,1,1,1,5,4,1,4,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP C,UNITED STATES,T-81,3,1,1,1,3,3,0,4,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP C,Colombia,T-15,3,1,0,2,4,7,-3,3,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP D,Nigeria,T-49,3,2,0,1,6,3,3,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP D,Bulgaria,T-10,3,2,0,1,6,3,3,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP D,Argentina,T-3,3,2,0,1,6,5,1,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP D,Greece,T-31,3,0,0,3,0,7,-7,0,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP E,Netherlands,T-47,3,2,0,1,6,4,2,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP E,Saudi Arabia,T-62,3,2,0,1,4,3,1,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP E,Belgium,T-6,3,2,0,1,4,2,2,6,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP E,Morocco,T-46,3,0,0,3,2,7,-5,0,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP F,Germany,T-29,3,2,1,0,5,3,2,7,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP F,Spain,T-72,3,1,2,0,4,3,1,5,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP F,South Korea,T-70,3,0,2,1,4,5,-1,2,,,,,,,,,
1994,1994 FIFA Men's World Cup,GROUP F,Bolivia,T-7,3,0,1,2,1,3,-2,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP A,Nigeria,T-49,3,2,0,1,5,5,0,6,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP A,Paraguay,T-54,3,1,2,0,3,2,1,5,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP A,Spain,T-72,3,1,1,1,4,4,0,4,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP A,Bulgaria,T-10,3,0,1,2,1,7,-6,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP B,Brazil,T-9,3,2,0,1,6,3,3,6,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP B,Norway,T-52,3,1,2,0,5,4,1,5,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP B,Morocco,T-46,3,1,1,1,5,5,0,4,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP B,Scotland,T-63,3,0,1,2,2,6,-4,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP C,Italy,T-40,3,2,1,0,7,3,4,7,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP C,Chile,T-13,3,0,3,0,4,4,0,3,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP C,Austria,T-5,3,0,2,1,2,3,-1,2,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP C,Cameroon,T-11,3,0,2,1,2,5,-3,2,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP D,Netherlands,T-47,3,2,1,0,7,2,5,7,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP D,Mexico,T-45,3,1,2,0,7,6,1,5,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP D,Belgium,T-6,3,0,3,0,2,2,0,3,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP D,South Korea,T-70,3,0,0,3,1,7,-6,0,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP E,Romania,T-60,3,2,1,0,4,2,2,7,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP E,England,T-27,3,2,0,1,4,2,2,6,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP E,Colombia,T-15,3,1,0,2,1,3,-2,3,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP E,Tunisia,T-77,3,0,1,2,1,3,-2,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP F,Germany,T-29,3,2,1,0,6,3,3,7,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP F,Yugoslavia,T-86,3,1,2,0,4,3,1,5,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP F,Iran,T-36,3,1,0,2,2,6,-4,3,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP F,UNITED STATES,T-81,3,0,1,2,1,4,-3,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP G,France,T-28,3,3,0,0,9,1,8,9,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP G,Denmark,T-21,3,2,0,1,5,4,1,6,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP G,South Africa,T-69,3,0,1,2,3,7,-4,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP G,Saudi Arabia,T-62,3,0,1,2,2,7,-5,1,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP H,Argentina,T-3,3,3,0,0,7,0,7,9,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP H,Croatia,T-17,3,2,0,1,4,2,2,6,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP H,Jamaica,T-42,3,1,0,2,3,9,-6,3,,,,,,,,,
1998,1998 FIFA Men's World Cup,GROUP H,Japan,T-43,3,0,0,3,1,4,-3,0,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP A,Denmark,T-21,3,2,1,0,5,2,3,7,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP A,Senegal,T-64,3,1,2,0,5,4,1,5,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP A,Uruguay,T-82,3,0,2,1,4,5,-1,2,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP A,France,T-28,3,0,1,2,0,3,-3,1,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP B,Spain,T-72,3,3,0,0,9,4,5,9,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP B,Paraguay,T-54,3,1,1,1,4,4,0,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP B,South Africa,T-69,3,1,1,1,5,5,0,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP B,Slovenia,T-68,3,0,0,3,2,7,-5,0,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP C,Brazil,T-9,3,3,0,0,11,3,8,9,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP C,Turkey,T-78,3,1,1,1,5,3,2,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP C,Costa Rica,T-16,3,1,1,1,5,6,-1,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP C,China,T-14,3,0,0,3,0,9,-9,0,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP D,South Korea,T-70,3,2,1,0,4,1,3,7,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP D,United States,T-81,3,1,1,1,5,6,-1,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP D,Portugal,T-57,3,1,0,2,6,4,2,3,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP D,Poland,T-56,3,1,0,2,3,7,-4,3,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP E,Germany,T-29,3,2,1,0,11,1,10,7,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP E,Republic of Ireland,T-59,3,1,2,0,5,4,1,5,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP E,Cameroon,T-11,3,1,1,1,3,3,0,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP E,Saudi Arabia,T-62,3,0,0,3,0,12,-12,0,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP F,Sweden,T-73,3,1,2,0,4,3,1,5,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP F,England,T-27,3,1,2,0,2,1,1,5,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP F,Argentina,T-3,3,1,1,1,2,2,0,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP F,Nigeria,T-49,3,0,1,2,1,3,-2,1,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP G,Mexico,T-45,3,2,1,0,4,2,2,7,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP G,Italy,T-40,3,1,1,1,4,3,1,4,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP G,Croatia,T-17,3,1,0,2,2,4,-2,3,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP G,Ecuador,T-24,3,1,0,2,2,5,-3,3,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP H,Japan,T-43,3,2,1,0,5,2,3,7,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP H,Belgium,T-6,3,1,2,0,6,5,1,5,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP H,Russia,T-61,3,1,0,2,4,4,0,3,,,,,,,,,
2002,2002 FIFA Men's World Cup,GROUP H,Tunisia,T-77,3,0,1,2,1,5,-4,1,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP A,Germany,T-29,3,3,0,0,8,2,6,9,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP A,Ecuador,T-24,3,2,0,1,5,3,2,6,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP A,Poland,T-56,3,1,0,2,2,2,0,3,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP A,Costa Rica,T-16,3,0,0,3,3,11,-8,0,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP B,England,T-27,3,2,1,0,5,2,3,7,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP B,Sweden,T-73,3,1,2,0,3,2,1,5,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP B,Paraguay,T-54,3,1,0,2,2,2,0,3,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP B,Trinidad & Tobago,T-76,3,0,1,2,0,6,-6,1,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP C,Argentina,T-3,3,2,1,0,8,1,7,7,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP C,Netherlands,T-47,3,2,1,0,3,1,2,7,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP C,Ivory Coast,T-41,3,1,0,2,5,6,-1,3,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP C,Serbia & Montenegro,T-66,3,0,0,3,2,10,-8,0,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP D,Portugal,T-57,3,3,0,0,5,1,4,9,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP D,Mexico,T-45,3,1,1,1,4,2,2,4,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP D,Angola,T-2,3,0,2,1,1,2,-1,2,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP D,Iran,T-36,3,0,1,2,3,6,-3,1,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP E,Italy,T-40,3,2,1,0,5,1,4,7,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP E,Ghana,T-30,3,2,0,1,4,3,1,6,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP E,CZECHIA,T-19,3,1,0,2,3,4,-1,3,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP E,UNITED STATES,T-81,3,0,1,2,2,6,-4,1,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP F,Brazil,T-9,3,3,0,0,7,1,6,9,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP F,Australia,T-4,3,1,1,1,5,5,0,4,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP F,Croatia,T-17,3,0,2,1,2,3,-1,2,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP F,Japan,T-43,3,0,1,2,2,7,-5,1,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP G,Switzerland,T-74,3,2,1,0,4,0,4,7,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP G,France,T-28,3,1,2,0,3,2,1,5,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP G,South Korea,T-70,3,1,1,1,3,4,-1,4,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP G,Togo,T-75,3,0,0,3,1,5,-4,0,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP H,Spain,T-72,3,3,0,0,8,4,4,9,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP H,Ukraine,T-79,3,2,0,1,5,4,1,6,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP H,Tunisia,T-77,3,0,1,2,3,6,-3,1,,,,,,,,,
2006,2006 FIFA Men's World Cup,GROUP H,Saudi Arabia,T-62,3,0,1,2,2,7,-5,1,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP A,Uruguay,T-82,3,2,1,0,4,0,4,7,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP A,Mexico,T-45,3,1,1,1,3,2,1,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP A,South Africa,T-69,3,1,1,1,3,5,-2,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP A,France,T-28,3,0,1,2,1,4,-3,1,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP B,Argentina,T-3,3,3,0,0,7,1,6,9,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP B,South Korea,T-70,3,1,1,1,5,6,-1,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP B,Greece,T-31,3,1,0,2,2,5,-3,3,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP B,Nigeria,T-49,3,0,1,2,3,5,-2,1,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP C,UNITED STATES,T-81,3,1,2,0,4,3,1,5,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP C,England,T-27,3,1,2,0,2,1,1,5,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP C,Slovenia,T-68,3,1,1,1,3,3,0,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP C,Algeria,T-1,3,0,1,2,0,2,-2,1,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP D,Germany,T-29,3,2,0,1,5,1,4,6,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP D,Ghana,T-30,3,1,1,1,2,2,0,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP D,Australia,T-4,3,1,1,1,3,6,-3,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP D,Serbia,T-65,3,1,0,2,2,3,-1,3,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP E,Netherlands,T-47,3,3,0,0,5,1,4,9,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP E,Japan,T-43,3,2,0,1,4,2,2,6,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP E,Denmark,T-21,3,1,0,2,3,6,-3,3,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP E,Cameroon,T-11,3,0,0,3,2,5,-3,0,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP F,Paraguay,T-54,3,1,2,0,3,1,2,5,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP F,Slovakia,T-67,3,1,1,1,5,5,0,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP F,New Zealand,T-48,3,0,3,0,2,2,0,3,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP F,Italy,T-40,3,0,2,1,4,5,-1,2,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP G,Brazil,T-9,3,2,1,0,5,2,3,7,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP G,Portugal,T-57,3,1,2,0,7,0,7,5,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP G,Ivory Coast,T-41,3,1,1,1,4,3,1,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP G,North Korea,T-50,3,0,0,3,1,12,-11,0,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP H,Spain,T-72,3,2,0,1,4,2,2,6,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP H,Chile,T-13,3,2,0,1,3,2,1,6,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP H,Switzerland,T-74,3,1,1,1,1,1,0,4,,,,,,,,,
2010,2010 FIFA Men's World Cup,GROUP H,Honduras,T-33,3,0,1,2,0,3,-3,1,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP A,Brazil,T-9,3,2,1,0,7,2,5,7,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP A,Mexico,T-45,3,2,1,0,4,1,3,7,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP A,Croatia,T-17,3,1,0,2,6,6,0,3,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP A,Cameroon,T-11,3,0,0,3,1,9,-8,0,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP B,Netherlands,T-47,3,3,0,0,10,3,7,9,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP B,Chile,T-13,3,2,0,1,5,3,2,6,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP B,Spain,T-72,3,1,0,2,4,7,-3,3,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP B,Australia,T-4,3,0,0,3,3,9,-6,0,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP C,Colombia,T-15,3,3,0,0,9,2,7,9,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP C,Greece,T-31,3,1,1,1,2,4,-2,4,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP C,Ivory Coast,T-41,3,1,0,2,4,5,-1,3,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP C,Japan,T-43,3,0,1,2,2,6,-4,1,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP D,Costa Rica,T-16,3,2,1,0,4,1,3,7,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP D,Uruguay,T-82,3,2,0,1,4,4,0,6,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP D,Italy,T-40,3,1,0,2,2,3,-1,3,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP D,England,T-27,3,0,1,2,2,4,-2,1,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP E,France,T-28,3,2,1,0,8,2,6,7,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP E,Switzerland,T-74,3,2,0,1,7,6,1,6,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP E,Ecuador,T-24,3,1,1,1,3,3,0,4,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP E,Honduras,T-33,3,0,0,3,1,9,-8,0,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP F,Argentina,T-3,3,3,0,0,6,3,3,9,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP F,Nigeria,T-49,3,1,1,1,3,3,0,4,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP F,Bosnia & Herzegovina,T-8,3,1,0,2,4,4,0,3,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP F,Iran,T-36,3,0,1,2,1,4,-3,1,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP G,Germany,T-29,3,2,1,0,7,2,5,7,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP G,UNITED STATES,T-81,3,1,1,1,4,4,0,4,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP G,Portugal,T-57,3,1,1,1,4,7,-3,4,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP G,Ghana,T-30,3,0,2,1,4,6,-2,2,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP H,Belgium,T-6,3,3,0,0,4,1,3,9,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP H,Algeria,T-1,3,1,1,1,6,5,1,4,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP H,Russia,T-61,3,0,2,1,2,3,-1,2,,,,,,,,,
2014,2014 FIFA Men's World Cup,GROUP H,South Korea,T-70,3,0,1,2,3,6,-3,1,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP A,Uruguay,T-82,3,3,0,0,5,0,5,9,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP A,Russia,T-61,3,2,0,1,8,4,4,6,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP A,Saudi Arabia,T-62,3,1,0,2,2,7,-5,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP A,Egypt,T-25,3,0,0,3,2,6,-4,0,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP B,Spain,T-72,3,1,2,0,6,5,1,5,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP B,Portugal,T-57,3,1,2,0,5,4,1,5,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP B,Iran,T-36,3,1,1,1,2,2,0,4,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP B,Morocco,T-46,3,0,1,2,2,4,-2,1,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP C,France,T-28,3,2,1,0,3,1,2,7,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP C,Denmark,T-21,3,1,2,0,2,1,1,5,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP C,Peru,T-55,3,1,0,2,2,2,0,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP C,Australia,T-4,3,0,1,2,2,5,-3,1,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP D,Croatia,T-17,3,3,0,0,7,1,6,9,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP D,Argentina,T-3,3,1,1,1,3,5,-2,4,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP D,Nigeria,T-49,3,1,0,2,3,4,-1,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP D,Iceland,T-35,3,0,1,2,2,5,-3,1,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP E,Brazil,T-9,3,2,1,0,5,1,4,7,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP E,Switzerland,T-74,3,1,2,0,5,4,1,5,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP E,Serbia,T-65,3,1,0,2,2,4,-2,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP E,Costa Rica,T-16,3,0,1,2,2,5,-3,1,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP F,Sweden,T-73,3,2,0,1,5,2,3,6,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP F,Mexico,T-45,3,2,0,1,3,4,-1,6,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP F,South Korea,T-70,3,1,0,2,3,3,0,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP F,Germany,T-29,3,1,0,2,2,4,-2,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP G,Belgium,T-6,3,3,0,0,9,2,7,9,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP G,England,T-27,3,2,0,1,8,3,5,6,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP G,Tunisia,T-77,3,1,0,2,5,8,-3,3,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP G,Panama,T-53,3,0,0,3,2,11,-9,0,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP H,Colombia,T-15,3,2,0,1,5,2,3,6,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP H,Japan,T-43,3,1,1,1,4,4,0,4,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP H,Senegal,T-64,3,1,1,1,4,4,0,4,,,,,,,,,
2018,2018 FIFA Men's World Cup,GROUP H,Poland,T-56,3,1,0,2,2,5,-3,3,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP A,Netherlands,T-47,3,2,1,0,5,1,4,7,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP A,Senegal,T-64,3,2,0,1,5,4,1,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP A,Ecuador,T-24,3,1,1,1,4,3,1,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP A,Qatar,T-58,3,0,0,3,1,7,-6,0,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP B,England,T-27,3,2,1,0,9,2,7,7,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP B,UNITED STATES,T-81,3,1,2,0,2,1,1,5,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP B,Iran,T-36,3,1,0,2,4,6,-2,3,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP B,Wales,T-84,3,0,1,2,1,6,-5,1,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP C,Argentina,T-3,3,2,0,1,5,2,3,6,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP C,Poland,T-56,3,1,1,1,2,2,0,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP C,Mexico,T-45,3,1,1,1,2,3,-1,4,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP C,Saudi Arabia,T-62,3,1,0,2,3,5,-2,3,,,,,,,,,
2022,2022 FIFA Men's World Cup,GROUP D,France,T-28,3,2,0,1,6,3,3,6,,,,,,,,,
