TEAM_ID,TEAM_NAME,TEAM_CODE,IMAGE_URL
T-1,Algeria,DZA,https://static.vecteezy.com/system/resources/previews/011/159/258/original/national-flag-of-algeria-vector.jpg
T-2,Angola,AGO,https://www.flagcolorcodes.com/data/flag-of-angola.png
T-3,Argentina,ARG,https://tse3.mm.bing.net/th/id/OIP.fwli-BcMtV8xRLOAYp3kLgHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-4,Australia,AUS,https://tse4.mm.bing.net/th/id/OIP.XG-GkbWheyYNCbARTFAOogHaD0?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-5,Austria,AUT,https://tse3.mm.bing.net/th/id/OIP.jD9X6SvWv85UFfZEq6rSmwHaFK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-6,Belgium,BEL,https://static.vecteezy.com/system/resources/previews/011/159/362/original/national-flag-of-belgium-vector.jpg
T-7,Bolivia,BOL,https://3.bp.blogspot.com/-J-HYQMNKRT0/VtmHUxxYKTI/AAAAAAAAPlE/UThU6eDSgGA/s1600/bolivia-flag_121230581.gif
T-8,Bosnia & Herzegovina,BIH,https://www.pngall.com/wp-content/uploads/2016/05/Bosnia-And-Herzegovina-Flag-PNG-Clipart.png
T-9,Brazil,BRA,https://cdn.pixabay.com/photo/2021/07/30/12/07/flag-6509488_1280.png
T-10,Bulgaria,BGR,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/1920px-Flag_of_Bulgaria.svg.png?20130218001745
T-11,Cameroon,CMR,https://flagsweb.com/images/PNG/Flag_of_Cameroon.png
T-12,Canada,CAN,https://th.bing.com/th/id/R.d89c98bb5bcef2bb2ad11ab3fdb539fb?rik=vEATz87U0Tb8ag&riu=http%3a%2f%2fwww.pngall.com%2fwp-content%2fuploads%2f2016%2f06%2fCanada-Flag-Transparent.png&ehk=CN%2fh2F7BN6DODpMBzLNmgbdMO%2bYzc%2bv0OS0nsWBeSmI%3d&risl=&pid=ImgRaw&r=0
T-13,Chile,CHL,https://flagpedia.net/data/flags/w1600/cl.png
T-14,China,CHN,https://cdn.pixabay.com/photo/2020/03/30/16/36/asia-4984773_1280.jpg
T-15,Colombia,COL,https://flagsweb.com/images/PNG/Flag_of_Colombia.png
T-16,Costa Rica,CRI,https://flagcdn.com/w2560/cr.png
T-17,Croatia,HRV,https://tse1.explicit.bing.net/th/id/OIP.MC1TgCe_BbNnbpKL193pzwHaDt?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
T-18,Cuba,CUB,https://static.vecteezy.com/system/resources/previews/043/229/695/non_2x/national-flag-of-cuba-cuba-flag-waving-cuba-flag-free-vector.jpg
T-19,CZECHIA,CZE,https://static.vecteezy.com/system/resources/previews/060/518/051/non_2x/czechia-flag-design-czechia-national-flag-illustration-czechia-official-color-flag-design-free-vector.jpg
